,Title,URL,Album,InAnAlbum,Lyrics
9,Back Home,https://genius.com/Owl-city-back-home-lyrics,Mobile Orchestra,True,"I'm saying goodbye to the skyline
Hello to the sweet pines
Gonna see you later street lights
I'm headed back to tree lines
To free time and starry nights
To bonfires and fireflies
Pack your bags it's time to go
Cause we got brighter lights back home
I've got aching feet
From walking over miles of concrete
And I can't wait to dream
But the city, you know she won't go to sleep
So I'm saying...
Goodbye to the skyline
Hello to the sweet pines
Gonna see you later street lights
I'm headed back to tree lines
To free time and starry nights
To bonfires and fireflies
Pack your bags it's time to go
Cause we got brighter lights back home
Yeah, we got brighter lights back home
Back home there's a girl named Mary Lou
A diner off the highway with a corner booth
And every gravel road is a trip down memory lane
And back home, where the corn grows ten feet tall
Every year's measured on the pantry wall
The willow trees are waving 'til we come back home again
]
I'm saying goodbye to the skyline
Hello to the sweet pines
Gonna see you later street lights
I'm headed back to tree lines
(To free time and starry nights
To bonfires and fireflies
Pack your bags it's time to go)
Pack your bags it's time to go
 Together]
I'm saying goodbye to the skyline
Hello to the sweet pines
Gonna see you later street lights
I'm headed back to tree lines
To free time and starry nights
Pack your bags it's time to go
Pack your bags it's time to go"
14,Bird with a Broken Wing,https://genius.com/Owl-city-bird-with-a-broken-wing-lyrics,Mobile Orchestra,True,"So I walk alone down the darkest roads
Cause I've always known how the story goes
When the curtain falls I'll be wearing thin
Clawing at the walls as they're closing in
In this twisted plot I was destined for
I'm an astronaut on the ocean floor
So misunderstood 'till the bloody end
How I wish I could do it all again
It feels like I'm a lone survivor
Forgotten in a dark and deadly world
And on my own I walk alone
To see the sun again I'd give anything
But life demands a final chapter
A story that we all must leave behind
It's do or die, and this is mine
The anthem of a bird with a broken wing
It's another night of the living dead
Like a viper bite in a spiderweb
It's so deathly dark in the alleyway
And a bleeding heart makes you easy prey
I would run and hide for the afternoon
With the butterfly in the panic room
Though I won't be missed, I would say it's time
For a different twist in the story line
It feels like I'm a lone survivor
Forgotten in a dark and deadly world
And on my own I walk alone
To see the sun again I'd give anything
But life demands a final chapter
A story that we all must leave behind
It's do or die, and this is mine
The anthem of a bird with a broken wing
The anthem of a bird with a broken wing
It feels like I'm a lone survivor
Forgotten in a dark and deadly world
And on my own I walk alone
To see the sun again I'd give anything
But life demands a final chapter
A story that we all must leave behind
It's do or die, and this is mine
The anthem of a bird with a broken wing
The anthem of a bird with a broken wing
The anthem of a bird with a broken wing
Tell the world I know that my mind is made
It's a horror show, but I'm not afraid
Though I won't be missed, I would say it's time
For a different twist in the story line"
15,Bombshell Blonde,https://genius.com/Owl-city-bombshell-blonde-lyrics,The Midsummer Station,True,"That blonde, she's a bomb, she's an atom bomb
Rigged up, and ready to drop!
Bad news, I'm a fuse, and I've met my match
So stand back, it's about to go off!
That vixen, she's a master of disguise!
I see danger, when I look in her eyes
She's so foxy, she could lead to my demise
So I'm running, cause I've run out of time
She’s a bombshell blonde, wired up to detonate!
I’m James Bond, live to die another day!
Bombshell blonde, high explosive dynamite!
She’s all I want so I, I’m on a mission tonight!
Her love is a drug laced with ecstasy
And her charm is spiked with a spell
A hot mess in a dress gets the best of me
She's ice cold, but she's making me melt!
That vixen, she's a master of disguise!
I see danger, when I look in her eyes
She's so foxy, she could lead to my demise
So I'm running, cause I've run out of time
She’s a bombshell blonde, wired up to detonate!
I’m James Bond, live to die another day!
Bombshell blonde, high explosive dynamite!
She’s all I want so I, I’m on a mission tonight!
That vixen, she's a master of disguise!
I see danger, when I look in her eyes
She's so foxy, she could lead to my demise
So I'm running, cause I've run out of time
She’s a bombshell blonde, wired up to detonate!
I’m James Bond, live to die another day!
Bombshell blonde, high explosive dynamite!
She’s all I want so I, I’m on a mission tonight!
That vixen, she's a master of disguise!
I see danger, when I look in her eyes
She's so foxy, she could lead to my demise
So I'm running, cause I've run out of time
She’s a bombshell blonde, wired up to detonate!
I’m James Bond, live to die another day!
Bombshell blonde, high explosive dynamite!
She’s all I want so I, I’m on a mission tonight!
I, I'm on a mission tonight!
I, I'm on a mission tonight!
I, I'm on a mission tonight!
I, I'm on a mission tonight!"
17,Butterfly Wings,https://genius.com/Owl-city-butterfly-wings-lyrics,Ocean Eyes,True,"If I was a raindrop
Would you be my thunderstorm?
It's cold so surround me
With rain clouds to keep me warm
I feel like I'm falling
So darling don't let me go
The thought is appalling but should I slip away
Into the stormy sea will you remember me?
Asleep in our warm cocoons
We dream of lovely things
We're both gonna wake up soon
So we hope that tomorrow brings
Us our butterfly wings
If I was a grain of sand
Would you be Miami Beach?
So dusty with starlight
Close your eyes and cuddle close to me
I'll try not to wake you
Or make a sound while you're dozing off
But in the night should the high tides
Sweep me away from you
Tell me again my dear will you be waiting here?
Whenever we leave the ground
And take to the sky
I'll smile as I'm gazing down
Because I've always wondered why
We won't need feathers to fly"
18,Can’t Live Without You,https://genius.com/Owl-city-cant-live-without-you-lyrics,Mobile Orchestra,True,"All the thoughts in my head spin around like a hurricane
And life leaves me so confused
When I trip and I fall I collapse like a tidal wave
So I'm crying out to You
You reached down out of nowhere
And picked my heart up off the floor
You put my life back together
And I'm not broken anymore
You're my only wish for a dream come true
And it goes like this: ""Will You come to my rescue?""
You're the only hope that I'm clinging to
And I hope you know I can't live without You
I can't live without You
I just can't live without You
When I'm hit like a hook to the jaw in a title fight
I'm down and I'm knocked out cold, you know
And with my heart broke apart like a wreck in a shallow tide
Yeah I've never felt this low
You reached down out of nowhere
And picked my heart up off the floor
You put my life back together
And I'm not broken anymore
You're my only wish for a dream come true
And it goes like this: ""Will You come to my rescue?""
You're the only hope that I'm clinging to
And I hope you know I can't live without you
I can't live without you
I just can't live without you
You're my only wish for a dream come true
And it goes like this: ""Will You come to my rescue?""
You're the only hope that I'm clinging to
And I hope you know I can't live without You
You're my only wish for a dream come true
And it goes like this: ""Will you come to my rescue?""
You're the only hope that I'm clinging to
And I hope you know I can't live without You"
20,Cave In,https://genius.com/Owl-city-cave-in-lyrics,Ocean Eyes,True,"Please take a long hard look
Through your text book cause I'm history
When I strap my helmet on I'll be long gone
'Cause I've been dying to leave
Yeah, I'll ride the range
And hide all my loose change in my bedroll
'Cause riding a dirt bike down a turnpike
Always takes its toll on me
I've had just about enough
Of quote diamonds in the rough
Because my backbone is paper thin
Get me out of this cavern or I'll cave in
If the bombs go off the sun will still be shining
Because I've heard it said that
Every mushroom cloud has a silver lining
Swallow a drop of gravel and blacktop
'Cause the road tastes like Wintergreen
The wind and the rain smell of oil and octane
Mixed with stale gasoline
I'll soak up the sound
Try to sleep on the wet ground
I'll get ten minutes give or take
'Cause I just don't foresee myself getting drowsy
When cold integrity keeps me wide awake
Get me out of this cavern or I'll cave in
Get me out of this cavern or I'll cave in
I'll keep my helmet on
Just in case my head caves in
'Cause if my thoughts collapse
Or my framework snaps
It'll make a mess like you wouldn't believe
Tie my handlebars to the stars
So I stay on track 
And if my intentions stray I'll wrench them away
Then I'll take my leave and I won't even look back
I won't even look back
(Da da da da da da da da da da
Da da da da da da da daaa...)"
26,Dementia,https://genius.com/Owl-city-dementia-lyrics,The Midsummer Station,True,"Dementia, you're driving me crazy
This is driving me crazy
Dementia, oh, dementia
Every light in the night flickered in and out
Every bone in my back shivered up and down
Keep the pace just in case all the magic dies
Cause this is driving me crazy
Every voice in my head shouted yes and no
Every freight train of thought fought to stop and go
Keep the pace just in case all the magic dies
Cause this is driving me crazy
Big surprise, I'm a ghost keeping out of sight
Rub your eyes, you're a star in a summer night
This is love, this is war, it's insanity
Dementia, you're driving me crazy
Every tear in my eyes dripped and wouldn't drop
Every disc in my spine shook and couldn't stop
Keep the pace just in case all the magic dies
Cause this is driving me crazy
Every hand let me go that I tried to hold
Every warm-hearted love left me freezing cold
Keep the pace just in case all the magic dies
Cause this is driving me crazy
Big surprise, I'm a ghost keeping out of sight
Rub your eyes, you're a star in a summer night
This is love, this is war, it's insanity
Dementia, you're driving me crazy
Big surprise, I'm a ghost keeping out of sight
Rub your eyes, you're a star in a summer night
This is love, this is war, it's insanity
Dementia, oh, dementia
Through the skies you're en route at the speed of light
So realize there's chaos in the air tonight
This is love, this is war, this is pure insanity
Dementia, you're driving me crazy
This is driving me crazy
Oh, dementia, you're driving me crazy"
27,Dental Care,https://genius.com/Owl-city-dental-care-lyrics,Ocean Eyes,True,"I brush my teeth, and look in the mirror
And laugh out loud as I'm beaming from ear to ear
I'd rather pick flowers, instead of fights
And rather than flaunt my style
I'd flash you a smile, of clean pearly whites
I've been to the dentist a thousand times so I know the drill
I smooth my hair, sit back in the chair
But somehow I still get the chills
""Have a seat"" he says pleasantly
As he shakes my hand, and practically laughs at me
""Open up nice and wide"" he says peering in
And with a smirk he says ""Don't have a fit, this'll just pinch a bit""
As he tries not to grin
When hygienists leave on long vacations
That's when dentists scream and lose their patience
Talking only brings the toothaches on
Because I say the stupidest things
So if my resolve goes South
I'll swallow my pride with an aspirin, and shut my mouth
Golf and alcohol don't mix
And that's why I don't drink and drive
Because, good grief I'd knock out my teeth
And have to kiss my smile goodbye
I've been to the dentist a thousand times so I know the drill
I smooth my hair, sit back in the chair
But somehow I still get the chills"
29,Dreams and Disasters,https://genius.com/Owl-city-dreams-and-disasters-lyrics,The Midsummer Station,True,"We were alone on the road, driving faster
So far from home, we were chasing disaster
Hard on the gas, 'til the car caught on fire
We had to laugh, as the smoke billowed higher
I want to feel alive forever after
And you say, you say you want to feel alive forever after
And I, and I, and I say
Fo-o-ollow the li-i-ight through the dreams and disasters
Fo-o-ollow the li-i-ight to the edge and the after
We won't turn around
We will not slow down
Fo-o-ollow the li-i-ight through the dreams and disasters
Think of the sun and the sound of it rising
Still on the run with our eyes on the horizon
I want to feel alive forever after
And you say, you say you want to feel alive forever after
And I, and I, and I say
Fo-o-ollow the li-i-ght through the dreams and disasters
Fo-o-ollow the li-i-ght to the edge and the after
We won't turn around
We will not slow down
Fo-o-ollow the li-i-ght through the dreams and disasters
I just want to feel alive
I just want to feel alive
I just want to feel alive
I just want to feel alive
Fo-o-ollow the li-i-ght through the dreams and disasters
Fo-o-ollow the li-i-ght to the edge and the after
We won't turn around
We will not slow down
Fo-o-ollow the li-i-ght through the dreams and disasters"
32,Embers,https://genius.com/Owl-city-embers-lyrics,The Midsummer Station,True,"There were days when each hour
Was a war I fought to survive
There were nights full of nightmares
And I dreaded closing my eyes
There were skies that burst open
With a downpour to drown me alive
But the world took a spark like a match in the dark
And the fire brought me to life
So I'm fanning the flames to climb so high
Because there's no other way we can stay alive
Because we're burning bright as we all unite
And when it's all said and done we'll shine like the sun
So don't let the fire die
And we'll watch the sky as it fills with light
And though the embers are new, whatever you do
Just don't let the fire die
And you'll find, there'll be mornings
When the ashes and embers are cold
But you'll fight with a passion
And you'll never stop cause you know
Yeah you know it gets better
And your story is yet to be told
Every push, every shove, every war, every love
Yeah the coals are beginning to glow
Don't let the fire die
It gets better
Just don't let the fire die, no
And though the embers are new, whatever you do
Just don't let the fire die
Don't let the fire die"
